book_id,book_title,author_name
865,The Alchemist,"Alan R. Clarke, Paulo Coelho"
25899336,When Breath Becomes Air,"Paul Kalanithi, Abraham Verghese"
25041504,"After You (Me Before You, #2)",Jojo Moyes
27362503,It Ends with Us,Colleen Hoover
8127,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery
39988,Matilda,"Quentin Blake, Roald Dahl"
33600,Shantaram,Gregory David Roberts
2122,The Fountainhead,"Leonard Peikoff, Ayn Rand"
898885,Loving Frank,Nancy Horan
1158967,"Garden Spells (Waverley Family, #1)",Sarah Addison Allen
37190,The Tale of Despereaux,"Timothy Basil Ering, Kate DiCamillo"
6604794,The Sky Is Everywhere,Jandy Nelson
567795,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman
34268,Peter Pan,"Michael Hague, J.M. Barrie"
7763,The Joy Luck Club,Amy Tan
10929,For One More Day,Mitch Albom
6952,Like Water for Chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen"
92303,The Importance of Being Earnest,Oscar Wilde
7159515,Still Missing,Chevy Stevens
35982,My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler
1869,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich
2029177,Sundays at Tiffany's,"Gabrielle Charbonnet, James Patterson"
71728,Jonathan Livingston Seagull,"Richard Bach, Russell Munson"
991197,The Complete Persepolis,"Mattias Ripa, Anjali Singh, Blake Ferris, Marjane Satrapi"
33413128,Beartown,"Neil Smith, Fredrik Backman"
781110,Fever 1793,Laurie Halse Anderson
23751850,The Hypnotist's Love Story,Liane Moriarty
10872085,"Only Time Will Tell (The Clifton Chronicles, #1)",Jeffrey Archer
23754,Preludes & Nocturnes (The Sandman #1),"Neil Gaiman, Sam Kieth, Todd Klein, Karen  Berger, Malcolm Jones III, Mike Dringenberg"
33507,Twenty Thousand Leagues Under the Sea,"Anthony Bonner, Jules Verne"
2767,A People's History of the United States,Howard Zinn
310259,Love You Forever,"Sheila McGraw, Robert Munsch"
1466455,Three Wishes,Liane Moriarty
1951125,"The Lace Reader (The Lace Reader, #1)",Brunonia Barry
11010251,The Lost Wife,Alyson Richman
9820,Crossing to Safety,Wallace Stegner
5166,Midwives,Chris Bohjalian
25346,Out of the Dust,Karen Hesse
29483100,The Magnolia Story,"Chip Gaines, Joanna Gaines"
1319,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,"Robert McKee, Steven Pressfield"
1205297,Playing for Pizza,John Grisham
78427,The Total Money Makeover: A Proven Plan for Financial Fitness,Dave Ramsey
3090465,"The Twilight Saga (Twilight, #1-4)","Matt Walters, Ilyana Kadushin, Stephenie Meyer"
12898,Death of a Salesman,Arthur Miller
3613997,The Associate,John Grisham
187181,The Chosen,Chaim Potok
23664710,"Make Me (Jack Reacher, #20)",Lee Child
1675216,"Found (The Missing, #1)",Margaret Peterson Haddix
8459594,"Blood, Bones, and Butter: The Inadvertent Education of a Reluctant Chef",Gabrielle Hamilton
8204005,"Love Unscripted (Love, #1)",Tina Reber
7347109,The Hundred-Foot Journey,Richard C. Morais
180066,Beautiful Boy: A Father's Journey Through His Son's Addiction,David Sheff
64863,"A is for Alibi (Kinsey Millhone, #1)",Sue Grafton
30002998,Two By Two,Nicholas Sparks
1005,Think and Grow Rich,Napoleon Hill
439173,Frindle,"Brian Selznick, Andrew Clements"
284440,"Skulduggery Pleasant (Skulduggery Pleasant, #1)","Derek Landy, Tom Percival"
29800,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Bryan Lee O'Malley
4687,The Cider House Rules,John Irving
58027,Alias Grace,"Margaret Atwood, Brigitte Walitzek"
16248311,The Perfume Collector,Kathleen Tessaro
26233572,I See You,Clare Mackintosh
23587984,"Maybe Not (Maybe, #1.5)",Colleen Hoover
77390,"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery
2159,Confessions of an Economic Hit Man,John Perkins
33514,The Elements of Style,"William Strunk Jr., E.B. White"
16249,Angry Housewives Eating Bon Bons,Lorna Landvik
57854,Tao Te Ching,"Chungliang Al Huang, Gia-Fu Feng, Toinette Lippe, Lao Tzu, Jane English, Rowena Pattee Kryder"
2761356,The Sweet Gum Tree,Katherine Allred
4701,A Spot of Bother,Mark Haddon
25837341,The Good Neighbor,A.J. Banner
142292,My Stroke of Insight: A Brain Scientist's Personal Journey,Jill Bolte Taylor
310146,The True Confessions of Charlotte Doyle,Avi
